uniqueId/sale_date,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201709
1035075110916430000000000000000000,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,6,12,23,29,41,104,52,145,621,824,493,139,690,800,354,377,626,568,783,1514,470,400,336,267,423,365,307,174,157,157
1035075510916430000000000000000000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17,17,17,6,29,29,29,17,6,6,12,12,6,6,6,6,6,6,6,6,6,6,6,6
1035076411177430000000000000000000,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,29,29,35,6,23,6,41,6,12,23,46,52,87,139,29,35,29,23,6,6,6,6,23,23
1241405111250470000000000000000000,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,150,158,165,165
1241405111300470000000000000000000,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,15,15,15,23,23,23,15,30,8,23,15,38,15,23,75,188,158,135,150,128,45,98,188,203,180,150,255,210,165,105,90,173,45,15,8,0,0
1241405111300470000000000000000000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0
1241405511250460000000000000000000,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,128,210,98,38,105,120,90,98,90,60,120,120
1254035111200520000000000000000000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,33,41,66,74,98,90,49,74,66,90,33,41,115,90,74,25,25,74,66,66,90,172,49,82,49,74,66,25,57,33,33,41,57,16,16,16,0,0,0,0
1254035111340530000000000000000000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,25,25,8,8,8,25,41,8,33,98,8,66,49,74,66,33,66,90,41,8,82,107,66,25,90,74,115,66,41,25,25,25,8,8,8,8,8,0,0,0
1254035111420530000000000000000000,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,230,131,156,230,139,148,148
1254035111860520000000000000000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,74,74,33,148,57,74,90,90,107,74,74
1254035111860520000000000000000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,16,25,25,25,16,41,33,33,33
1254035111860520000000000000000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,16,8,8,16,16,57,41,16,49,49
1254035111870530000000000000000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,8,41,82,41,57,16,74,49,49,33,41,82,49,57,49,49,57,57,57,49,49,41,25,82,41,25,33,49,66,8,8,25,16,8,8,16,8,8,8,8,8,8
1254035111910520000000000000000000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,33,33,8,25,8,8,16,16,16
1369160311180480000000000000000000,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,9,9,9,9,9,9,17,17,17,9,9,9,9,9,9,9,9,9,9,9,9,17,17,9,9,9,17,9,9,9,17,17,17,17,9,9,9,17,9,17,9,9,9,9,26,26,9,9,9,9,9,26,0,0
1369165111230490000000000000000000,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,136,162,170,213,170,298,281,221,247,264,230,94,230,255,230,230,272,102,9,9,9,9,0,0,0,0,0,0,0,0,0,0
1369165111230490000000000000000000,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,145,136,187,221,170,170,187,111,136,170,153,153,145,145
