uniqueId/sale_date,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201303,201304,201305,201306,201307,201308,201309,201310,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201503,201504,201505,201506,201507,201508,201509,201510,201511,201603,201604,201605,201606,201607,201608,201609,201610,201702,201703,201704,201705,201706,201707,201708,201709,201710,201710
1035075110916430000000000000000000,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,6,12,23,29,41,104,52,493,139,690,800,354,377,626,568,400,336,267,423,365,307,174,157,180,198
1035075510916430000000000000000000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17,29,29,29,17,6,6,12,12,6,6,6,6,6,6,6,6,0,0
1035076411177430000000000000000000,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,29,23,6,41,6,12,23,46,52,35,29,23,6,6,6,6,23,0,0
1241405111250470000000000000000000,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,150,158,165,180,198
1241405111300470000000000000000000,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,15,15,23,15,30,8,23,15,38,15,23,135,150,128,45,98,188,203,180,165,105,90,173,45,15,8,0,0,0
1241405111300470000000000000000000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0
1241405511250460000000000000000000,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,38,105,120,90,98,90,60,120,83,91.3
1254035111200520000000000000000000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,33,41,66,74,98,66,90,33,41,115,90,74,25,25,90,172,49,82,49,74,66,25,41,57,16,16,16,0,0,0,0,0
1254035111340530000000000000000000,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,25,25,8,8,8,33,98,8,66,49,74,66,33,66,82,107,66,25,90,74,115,66,25,8,8,8,8,8,0,0,0,0
1254035111420530000000000000000000,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,230,131,156,230,139,148,156,171.6
1254035111860520000000000000000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,33,148,57,74,90,90,107,74,0,0
1254035111860520000000000000000000,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,16,25,25,25,16,41,33,33,0,0
