uniqueId/sale_date,201211,201311,201411,201511,201610
1035075110916430000000000000000000,17,17,17,52,568
1035075510916430000000000000000000,6,6,6,17,12
1035076411177430000000000000000000,12,12,12,29,52
1241405111250470000000000000000000,105,105,105,105,105
1241405111300470000000000000000000,15,15,15,23,180
1241405111300470000000000000000000,8,8,8,8,8
1241405511250460000000000000000000,30,30,30,30,30
1254035111200520000000000000000000,8,8,98,25,25
1254035111340530000000000000000000,8,8,8,66,66
1254035111420530000000000000000000,98,98,98,98,98
1254035111860520000000000000000000,25,25,25,25,25
1254035111860520000000000000000000,25,25,25,25,25
1254035111860520000000000000000000,25,25,25,25,25
1254035111870530000000000000000000,25,25,74,57,8
1254035111910520000000000000000000,8,8,8,8,8
1369160311180480000000000000000000,17,17,9,17,9
1369165111230490000000000000000000,17,17,17,247,9
1369165111230490000000000000000000,60,60,60,60,136
1369165111230490000000000000000000,9,9,9,9,0
1369165111230490000000000000000000,9,9,9,9,0
1369165111350490000000000000000000,9,9,9,9,0
1369165111350490000000000000000000,26,26,26,26,26
1696735511100470000000000000000000,67,67,67,67,67
1759623510660450000000000000000000,8,8,8,8,8
1759623510810450000000000000000000,24,24,79,103,55
1759623510810450000000000000000000,63,63,63,63,111
1759623510817450000000000000000000,32,32,32,32,0
1759625110810450000000000000000000,16,16,87,87,8
1759625110810450000000000000000000,40,40,40,40,79
1785293510603380000000000000000000,17,17,17,17,0
1785293510603380000000000000000000,11,11,11,11,6
1785293510603380000000000000000000,103,103,103,103,177
1862505110840440000000000000000000,25,25,25,25,224
1942015110733420000000000000000000,239,239,239,239,239
1944506411300450000000000000000000,6,6,6,12,218
1944506411300450000000000000000000,6,6,6,6,12
1944506411300450000000000000000000,6,6,6,6,6
1984272110800460000000000000000000,10,10,10,10,83
1984273510800450000000000000000000,16,16,16,68,125
2067655110840470000000000000000000,49,49,49,349,1416
2067655510840470000000000000000000,10,10,10,87,39
2067656411190470000000000000000000,49,49,49,155,116
2067656411190470000000000000000000,19,19,19,29,10
2099457111500510000000000000000000,15,15,53,15,0
2099457111500510000000000000000000,30,30,30,106,76
2099457111650510000000000000000000,8,8,8,8,8
2099457111650510000000000000000000,15,15,15,15,15
2099457111780500000000000000000000,8,8,205,8,0
2099457111780500000000000000000000,61,61,61,350,228
2099457111850510000000000000000000,8,8,8,8,8
2099457111850510000000000000000000,15,15,15,15,15
2099457111850510000000000000000000,8,8,8,8,8
2099457112000500000000000000000000,8,8,15,8,0
2099457112000500000000000000000000,8,8,8,30,15
2099457112000500000000000000000000,8,8,8,0,0
2099457112000500000000000000000000,8,8,8,0,0
2191955111100430000000000000000000,5,5,5,5,160
2191955111100430000000000000000000,5,5,5,5,90
2191955511100430000000000000000000,5,5,30,0,0
2191955511100430000000000000000000,15,15,15,30,165
2191955511100440000000000000000000,20,20,20,20,20
2217955411100440000000000000000000,100,100,100,100,164
2217956411320440000000000000000000,9,9,9,9,64
2217956411320440000000000000000000,9,9,9,9,18
2217956411620440000000000000000000,9,9,9,9,9
2456093510960430000000000000000000,6,6,6,6,6
2456095110810430000000000000000000,11,11,11,11,33
2456096410960440000000000000000000,61,61,61,61,77
2456096411100430000000000000000000,6,6,6,6,17
2483522110787440000000000000000000,8,17,34,59,235
2483522110904440000000000000000000,8,8,8,8,8
2483523510787440000000000000000000,8,8,25,25,160
2483525110733440000000000000000000,8,8,8,8,8
2483525110902440000000000000000000,42,42,42,42,42
2483525510733440000000000000000000,25,25,25,25,25
2498750311100470000000000000000000,9,9,9,9,9
2498750311100470000000000000000000,17,17,17,17,17
2498750311100470000000000000000000,86,86,86,86,86
2498750311370470000000000000000000,17,17,17,17,17
